created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Fri May 03 08:10:35 +0000 2024,1786307350871380032,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Quicksand Acrylic Brick  💸Harga = 302.000/ea  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/8nuP2vIXJQ,0,1,0,0,en,3435966434,1786287690822160752,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786307350871380032
Fri May 03 08:09:17 +0000 2024,1786307025473077492,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Character Set Badge (2pcs)  💸Harga = 132.000/ea  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/cVdeKpL0cY,0,1,0,0,en,3435966434,1786287690822160752,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786307025473077492
Fri May 03 06:58:18 +0000 2024,1786289160690778152,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Blind Box Acrylic Pendant - Pass Certification 38.0 / 39.0  💸Harga  ① Single Draw = 111.000/ea ② Whole Box = 995.000/ea  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭ https://t.co/lpeE7Xi67j,0,1,0,1,en,3435966434,1786287690822160752,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786289160690778152
Fri May 03 06:52:43 +0000 2024,1786287758576963649,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Sticker Pack   💸Harga = 103.000/ea  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/D7nCn1ttuV,0,1,0,1,en,3435966434,1786287690822160752,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786287758576963649
Fri May 03 06:52:32 +0000 2024,1786287711919419547,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Character Shikishi - Logos/Civilight Eterna/Wis'Adel  💸Harga = 134.000/ea  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/lncCY6GYta,0,1,0,1,en,3435966434,1786287690822160752,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786287711919419547
Fri May 03 06:52:27 +0000 2024,1786287690822160752,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Character Acrylic Standee - Logos/Wis'Adel/Civilight Eterna  💸Harga = 196.000/ea  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/WHuMXttv36,0,1,0,2,en,3435966434,1786287690822160752,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786287690822160752
Fri May 03 05:00:42 +0000 2024,1786259566487048282,"@nasikebulay you know the word.  BEACUKAI KONT*L""",0,1,0,2,en,1407878864,1786248101713609099,Hameed_404,https://twitter.com/Hameed_404/status/1786259566487048282
Fri May 03 03:17:52 +0000 2024,1786233686050115842,the thing i hate the most BEACUKAI ASS 💀,0,0,0,2,en,1548078563987161088,1786233686050115842,bibbinam,https://twitter.com/bibbinam/status/1786233686050115842
Thu May 02 23:55:24 +0000 2024,1786182735939457239,"Genuine Hermes is not that cheap. My theory is, its a knock off, but the bea cukai idiots google the price and hit them with the 26jt tax based on the original price. So they trashed the knock off, cause bfr if you’re rich enough to buy Hermes, you can pay that tax.",0,1,0,6,en,1671809115277111296,1786182735939457239,mideighty,https://twitter.com/mideighty/status/1786182735939457239
Thu May 02 23:41:38 +0000 2024,1786179269242286337,Welcome new followers! Not much going on here beside me complaining about Bea Cukai unfortunately 😭,0,0,0,0,en,1065308042701357056,1786179269242286337,arumdriya,https://twitter.com/arumdriya/status/1786179269242286337
Thu May 02 17:08:45 +0000 2024,1786080399560695905,@JohanTenma NOT SERAGAM BEA CUKAI!? But thank you 🥰,0,0,0,0,en,1522952640975364096,1785625747597742431,nipslipyeah,https://twitter.com/nipslipyeah/status/1786080399560695905
Thu May 02 16:31:38 +0000 2024,1786071058040430856,"bea cukai, note for my self",0,1,0,0,en,1304043045365587968,1786071058040430856,obeynonu,https://twitter.com/obeynonu/status/1786071058040430856
Thu May 02 14:58:26 +0000 2024,1786047601818923432,oh they're mimicking idn govt again? confiscate(slash stealing) other people's things at beacukai????,0,0,0,2,en,1353754493574389760,1786047601818923432,rushashes,https://twitter.com/rushashes/status/1786047601818923432
Thu May 02 12:42:30 +0000 2024,1786013393864020282,Another day another bea cukai,0,0,0,0,en,1070813262285955073,1786013393864020282,Ribonuacid1,https://twitter.com/Ribonuacid1/status/1786013393864020282
Thu May 02 12:24:36 +0000 2024,1786008891333165103,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Mountain Plush Doll - Big Doll Kal'tsit  💸Harga = 778.000/ea (incl 2kg)  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/iOS6DtylS4,0,0,0,0,en,3435966434,1786005663463928122,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786008891333165103
Thu May 02 12:11:49 +0000 2024,1786005674889257280,[Pre Order] ARKNIGHTS [明日方舟] merchandise  ▷Mountain Plush Doll -魔王 ver.  💸Harga = 280.000/ea (incl 1kg)  ✅ Shipping China - Indo [Est] ✅ Pajak + Beacukai ❌ Ongkir ke alamat Customer 💳 Fullpayment ↭↭↭↭↭↭↭↭↭ https://t.co/UFsxm4kEMk,0,1,0,0,en,3435966434,1786005663463928122,MiaoShoppu,https://twitter.com/MiaoShoppu/status/1786005674889257280
Thu May 02 12:11:12 +0000 2024,1786005515916751274,IDC IF SOME PEEPEEPOOPOO BUZZER GONNA CALL ME ATTENTION SEEKER OR WHATEVER. I JUST WANT MY STUFF BACK PLAPSLSPSLSPLS,0,0,0,1,en,1585112560202047489,1786003226669777278,kermitanto,https://twitter.com/kermitanto/status/1786005515916751274
Thu May 02 11:47:44 +0000 2024,1785999613176234333,I have a feeling i wouldnt receive mine for a long time due to BEACUKAI BEING AN ASS😭😭,0,1,0,0,en,1077590241081405440,1785999613176234333,_cranthir,https://twitter.com/_cranthir/status/1785999613176234333
Thu May 02 09:23:51 +0000 2024,1785963401333915856,"refreshing ems, pos indo, beacukai pages every 10 minutes https://t.co/PeL2HlJUbf",0,1,0,0,en,1351582656,1782572238124019948,onelmonsta,https://twitter.com/onelmonsta/status/1785963401333915856
Thu May 02 05:05:41 +0000 2024,1785898433724957036,@C_D3pp can governments do something about bea cukai? there's something wrong with the way they work and ask an irrational amount of money. it has become a national issue that involved countless people. I'm pretty sure they were all dissatisfied with their service,0,0,0,0,en,1644734802615234561,1785831515739279650,Icy_K_,https://twitter.com/Icy_K_/status/1785898433724957036
Thu May 02 04:35:04 +0000 2024,1785890730172637522,bea cukai started apologizing and fixing their fucked up system challege  failed,0,1,0,2,en,1693119693824126977,1785890730172637522,G4C0AN,https://twitter.com/G4C0AN/status/1785890730172637522
Thu May 02 00:26:37 +0000 2024,1785828203476697194,@MagiccHourr Ukayyy,0,0,0,0,en,1386963260440678408,1785631767065751799,cewebucin3,https://twitter.com/cewebucin3/status/1785828203476697194
Wed May 01 14:56:20 +0000 2024,1785684685458481242,"@Bandivokt2 @KemenperinRI as if they would heard it anyways, “ga berani gebra(k) pemerintah” my guy, are you new here??? 🫤 bea cukai literally got shredded a couple hours ago because of their regulations and you’re talking about netizens being a bunch of cowards? please.",0,1,1,31,en,1235149790612078593,1785598282833813869,bjorkkens,https://twitter.com/bjorkkens/status/1785684685458481242
